Index,SMILES,FP_1,FP_2,FP_3,FP_4,FP_5,FP_6,FP_7,FP_8,FP_9,FP_10,FP_11,FP_12,FP_13,FP_14,FP_15,FP_16,FP_17,FP_18,FP_19,FP_20,FP_21,FP_22,FP_23,FP_24,FP_25,FP_26,FP_27,FP_28,FP_29,FP_30,FP_31,FP_32,FP_33,FP_34,FP_35,FP_36,FP_37,FP_38,FP_39,FP_40,FP_41,FP_42
1608,Oc1ccc2c(c1)CCC(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,3,1,0,35,17,18,0,0,5.6666,163.0039,130.095,413.55124,32.7
1609,NCCCC(N)CC(=O)NC1CNC(=O)C(C2CC(O)N=C(N)N2)NC(=O)C(CNC(N)=O)=NC(=O)C(CO)NC(=O)C(CO)NC1=O,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,48,23,23,14,0,49,40,0,9,0,-4.7746,664.8762,187.3739,685.69002,393.19
1610,O=C(O)c1nc(Cl)c(Cl)c(Cl)c1Cl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13,3,3,1,0,13,6,6,1,0,3.3934,176.9205,51.2363,260.88964,50.19
1611,O=C(O)Cc1ccc(Cl)cc1Cl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,2,2,1,0,12,5,6,1,0,2.6205,117.0312,48.0068,205.03804,37.3
1612,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,31,7,7,2,0,34,20,12,2,0,4.703,246.7143,125.5487,441.53988,110.16
1613,CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,6,7,2,0,21,7,11,3,0,2.969,174.4301,72.8954,295.31432,109.68
1614,O=C1c2ccccc2-c2ccc(O)cc21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,1,0,17,4,12,1,0,2.6036,140.6906,57.3335,196.20142,37.3
1615,NCCOCCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,2,0,6,6,0,0,0,0.321,74.3133,27.8418,104.15088,61.27
1616,CCOC(=O)c1ccccc1O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,1,0,12,5,6,1,0,1.5689,69.5726,44.5515,166.1739,46.53
1617,C=C(C)C#N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,4,2,0,1,1,1.08608,-8.5121,20.617,67.0892,23.79
1618,NCC1CCC(C(=O)O)CC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,2,0,11,10,0,1,0,1.5364,126.0945,42.9352,157.2102,63.32
1619,CCN(CC)N(O)N=O,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,1,0,8,7,0,1,0,0.6158,52.9946,32.6015,133.14904,56.14
1620,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,27,0,27,0,0,6.3282,227.4614,96.344,276.33068,0
